,Unnamed: 0,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Padma Shri State Tel,Padma Shri Field Tel,Padma Shri Awarded By Tel
0,0,0,A Zakia,"Mizoram, India",Literature and Education,Ram Nath Kovind,,,,,,,"మిజోరం, ఇండియా",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
1,1,1,A. G. K. Gokhale,"Andhra Pradesh, India",Medicine,Pranab Mukherjee,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
2,2,2,A. K. Hangal,,,,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,,,,
3,3,3,A. K. Ramanujan,Germany,Literature and Education,Fakhruddin Ali Ahmed,,,,,,,జర్మనీ,సాహిత్యం మరియు విద్య,ఫఖ్రుద్దీన్ అలీ అహ్మద్
4,4,4,A. Kanyakumari,"Tamil Nadu, India",Arts,Pranab Mukherjee,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
5,5,5,A. Lakshmanaswami Mudaliar,,,,Tamil Nadu,Literature and Education,Rajendra Prasad,Tamil Nadu,Medicine,Sarvepalli Radhakrishnan,,,
6,6,6,A. M. Naik,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,,,,
7,7,7,A. Marthanda Pillai,"Kerala, India",Medicine,Pratibha Patil,,,,,,,"కేరళ, భారత్",మెడిసిన్,ప్రతిభా పాటిల్
8,8,8,A. Nagappa Chettiar,"Tamil Nadu, India",Trade and Industry,Sarvepalli Radhakrishnan,,,,,,,"తమిళనాడు, భారతదేశం",వాణిజ్యం మరియు పరిశ్రమ,సర్వేపల్లి రాధాకృష్ణన్
9,9,9,A. P. J. Abdul Kalam,,,,Delhi,Civil Service,Neelam Sanjiva Reddy,Tamil Nadu,Science and Engineering,R. Venkataraman,,,
10,10,10,A. R. Rahman,Tamil Nadu,Arts,K. R. Narayanan,Tamil Nadu,Arts,Pratibha Patil,,,,తమిళనాడు,ఆర్ట్స్,కె. ఆర్. నారాయణన్
11,11,11,A. Ramachandran,,,,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,
12,12,12,A. Ramasamy Mudaliar,,,,,,,"Andhra Pradesh, India",Civil Service,V. V. Giri,,,
13,13,13,A. S. Arya,"Uttarakhand, India",Science and Engineering,K. R. Narayanan,,,,,,,"ఉత్తరాఖండ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
