,Recipients,philanthropy,philanthropy Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,"In August 2016, Naik announced that he would give 75% of his income to charitable causes over his lifetime, setting up the Naik Charitable Trust for education and the Nirali Memorial Medical Trust for healthcare.Nirali Memorial Medical Trust had entered into an agreement to set up a Cancer Hospital at Navsari which will be operated by Tata Trusts. In January 2019, the Prime Minister of India laid the foundation stone for the Cancer hospital in Navsari, Gujarat. The healthcare campus at Navsari will also house a speciality hospital for which the NMMT has tied up with the Apollo Hospitals Group. NMMT also runs Nirali Memorial Radiation Centre in nearby Surat, a multi-disciplinary hospital at Powai in Mumbai and provides modern medical facilities at a hospital at Kharel, Gujarat.","ఆగస్ట్ 2016లో, నాయక్ తన జీవితకాలంలో తన ఆదాయంలో 75% ధార్మిక కార్యక్రమాలకు ఇస్తానని ప్రకటించాడు, విద్య కోసం నాయక్ ఛారిటబుల్ ట్రస్ట్, ఆరోగ్య సంరక్షణ కోసం నిరాలీ మెమోరియల్ మెడికల్ ట్రస్ట్ను ఏర్పాటు చేశాడు. నిరాలీ మెమోరియల్ మెడికల్ ట్రస్ట్ నవ్సారిలో క్యాన్సర్ ఆసుపత్రిని ఏర్పాటు చేయడానికి ఒప్పందం కుదుర్చుకుంది, దీనిని టాటా ట్రస్ట్ నిర్వహిస్తుంది. జనవరి 2019లో, భారత ప్రధాని గుజరాత్లోని నవ్సారిలో క్యాన్సర్ ఆసుపత్రికి శంకుస్థాపన చేశారు. నవ్సారిలోని హెల్త్కేర్ క్యాంపస్లో స్పెషాలిటీ హాస్పిటల్ కూడా ఉంటుంది, దీని కోసం NMMT అపోలో హాస్పిటల్స్ గ్రూప్తో జతకట్టింది. NMMT సమీపంలోని సూరత్లో నిరాలీ మెమోరియల్ రేడియేషన్ సెంటర్ను కూడా నడుపుతోంది, ముంబైలోని పోవైలో మల్టీ-డిసిప్లినరీ హాస్పిటల్, గుజరాత్లోని ఖరేల్లోని ఆసుపత్రిలో ఆధునిక వైద్య సదుపాయాలను అందిస్తుంది. "
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
