,Recipients,biography,biography Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,"''' Childhood '''
Ramanujan was born in Mysore City on 16 March 1929. His father, Attipat Asuri Krishnaswami, an astronomer and professor of mathematics at Mysore University, was known for his interest in English, Kannada and Sanskrit languages. His mother was a homemaker. Ramanujan also had a brother, A.K. Srinivasan who was a writer and mathematician.


''' Education '''
Ramanujan was educated at Marimallappa's High School, Mysore, and at the Maharaja College of Mysore. In college, Ramanujan majored in science in his freshman year, but his father persuaded him to change his major from science to English.  Later, Ramanujan became a Fellow of Deccan College, Pune in 1958–59 and a Fulbright Scholar at Indiana University in 1959–62. He was educated in English at the University of Mysore and received his PhD in Linguistics from Indiana University","'''బాల్యం '''రామానుజన్ 1929 మార్చి 16న మైసూర్ నగరంలో జన్మించారు. అతని తండ్రి, అత్తిపట్ ఆసూరి కృష్ణస్వామి, ఖగోళ శాస్త్రవేత్త, మైసూరు విశ్వవిద్యాలయంలో గణితశాస్త్ర ప్రొఫెసర్, ఇంగ్లీష్, కన్నడ, సంస్కృత భాషలలో అతని ఆసక్తికి ప్రసిద్ధి చెందారు. అతని తల్లి గృహిణి. రామానుజన్కి ఒక సోదరుడు కూడా ఉన్నాడు, ఎ. కె. శ్రీనివాసన్ రచయిత, గణిత శాస్త్రవేత్త. ''' విద్య '''రామానుజన్ మైసూర్లోని మరిమల్లప్ప హైస్కూల్లో, మైసూర్ మహారాజా కళాశాలలో విద్యనభ్యసించారు. కళాశాలలో, రామానుజన్ తన మొదటి సంవత్సరంలో సైన్స్లో ప్రావీణ్యం సంపాదించాడు, కాని అతని తండ్రి అతనిని సైన్స్ నుండి ఆంగ్లంలోకి మార్చమని ఒప్పించాడు. తరువాత, రామానుజన్ 1958-59లో పూణేలోని డెక్కన్ కాలేజీకి ఫెలో అయ్యాడు, 1959-62లో ఇండియానా యూనివర్సిటీలో ఫుల్బ్రైట్ స్కాలర్ అయ్యాడు. ఇతను మైసూర్ విశ్వవిద్యాలయంలో ఆంగ్లంలో చదువుకున్నాడు, ఇండియానా విశ్వవిద్యాలయం నుండి భాషాశాస్త్రంలో పిహెచ్డి పొందాడు. "
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,,
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,,
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,,
