,Recipients,early life and career,early life and career Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,,
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,,
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,,
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,"He was born in a family of musicians in Gwalior in the Indian state of Madhya Pradesh, learned music under the tutelage of Haider Khan, his grandfather, Chhote Khan, his father, Chhote Khan and Uday Khan and Haddu Khan, all were his extended family, in Khyal Gharana style and mastered the instruments such as Sitar, Santoor and Tabla Later, he learned Sarangi under Bade Ghulam Sabir Khan.Abdul Latif Khan had performed at many music festivals like Bhopal Sarangi Mela and had been a staff artist at the All India Radio, Bhopal. He had performed as an accompanist to such renowned musicians as Bade Ghulam Ali Khan, Amir Khan, Hirabai Barodekar, Nazakat and Salamat Ali Khan, Kumar Gandharva, Mallikarjun Mansur and Kishori Amonkar.","ఇతను భారతదేశంలోని మధ్యప్రదేశ్ రాష్ట్రంలోని గ్వాలియర్లో సంగీత విద్వాంసుల కుటుంబంలో జన్మించాడు, హైదర్ ఖాన్, అతని తాత, ఛోటే ఖాన్, అతని తండ్రి, ఛోటే ఖాన్, ఉదయ్ ఖాన్, హద్దు ఖాన్ల ఆధ్వర్యంలో సంగీతం నేర్చుకున్నాడు, అందరూ అతని పెద్ద కుటుంబం., ఖ్యాల్ ఘరానా శైలిలో, సితార్, సంతూర్, తబలా వంటి వాయిద్యాలలో ప్రావీణ్యం సంపాదించాడు, ఇతను బడే గులాం సబీర్ ఖాన్ వద్ద సారంగి నేర్చుకున్నాడు. అబ్దుల్ లతీఫ్ ఖాన్ భోపాల్ సారంగి మేళా వంటి అనేక సంగీత ఉత్సవాల్లో ప్రదర్శన ఇచ్చాడు, భోపాల్లోని ఆల్ ఇండియా రేడియోలో స్టాఫ్ ఆర్టిస్ట్గా పనిచేశాడు. ఇతను బడే గులాం అలీ ఖాన్, అమీర్ ఖాన్, హీరాబాయి బరోదేకర్, నజాకత్, సలామత్ అలీ ఖాన్, కుమార్ గంధర్వ, మల్లికార్జున్ మన్సూర్, కిషోరి అమోన్కర్ వంటి ప్రసిద్ధ సంగీతకారులకు తోడుగా పనిచేశాడు. "
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
