,Recipients,early life,early life Telugu
0,A Zakia,"A Zakia was born in Lorrain Ville, in the Saikho village of Mizoram in 1930. He completed his schooling from the Government Middle School of the same village.",జాకియా 1930లో మిజోరంలోని సైఖో గ్రామంలోని లోరైన్ విల్లేలో జన్మించింది. ఇతను అదే గ్రామంలోని ప్రభుత్వ మాధ్యమిక పాఠశాలలో పాఠశాల విద్యను పూర్తి చేశాడు. 
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,"Born into a Kashmiri Pandit family, he spent his childhood and youth in Peshawar, where he had performed in theatre for some major roles. His family home was inside Reti Gate as mentioned in his memoirs. His father's name was Pandit Hari Kishan Hangal. His mother's name was Ragia Hundoo. He had two sisters. Bishan and Kishan. He was married to Manorma Dar from Agra. However, his primary occupation for the early part of his life was that of a tailor. He was an active participant in the Indian freedom struggle from 1929 to 1947. He joined Shree Sangeet Priya Mandal, a theatre group in Peshawar in 1936 and continued to act in many plays in undivided India till 1946","కాశ్మీరీ పండిట్ కుటుంబంలో జన్మించిన ఇతను తన బాల్యం, యవ్వనం పెషావర్లో గడిపాడు, అక్కడ ఇతను కొన్ని ప్రధాన పాత్రల కోసం థియేటర్లో నటించాడు. అతని జ్ఞాపకాలలో పేర్కొన్నట్లుగా అతని కుటుంబ ఇల్లు రేటి గేట్ లోపల ఉంది. అతని తండ్రి పేరు పండిట్ హరి కిషన్ హంగల్. అతని తల్లి పేరు రాగియా హుండూ. అతనికి ఇద్దరు సోదరీమణులు ఉన్నారు. బిషన్, కిషన్. ఆగ్రాకు చెందిన మనోర్మా దర్తో వివాహమైంది. ఏది ఏమైనప్పటికీ, అతని జీవితపు తొలిభాగంలో అతని ప్రధాన వృత్తి దర్జీ. ఇతను 1929 నుండి 1947 వరకు భారత స్వాతంత్ర్య పోరాటంలో చురుకుగా పాల్గొన్నాడు. ఇతను 1936లో పెషావర్లోని శ్రీ సంగీత ప్రియ మండల్ అనే థియేటర్ గ్రూప్లో చేరాడు, అవిభక్త భారతదేశంలో 1946 వరకు అనేక నాటకాలలో నటించాడు. "
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,"Naik is a Gujarati. He was born to a family of teachers in Gujarat, also referred to as Master Kutumb in Gujarati language. His father, who used to teach at a public school in Mumbai, heeded Mahatma Gandhi’s call to revitalise India's villages, and decided to return to his native village along with his family. Young Anil's early schooling therefore was in Endhal and the neighbouring village of Kharel. In June 1958, Naik enrolled at V.P. Science College in Vallabh Vidyanagar, where he would prepare for a year for admission to an engineering college.He graduated with a bachelor's degree in mechanical engineering from Birla Vishvakarma Mahavidyalaya Engineering college in Vallabh Vidyanagar in Gujarat.

After graduation, he went to Mumbai with a note from his father introducing him to Viren J. Shah working in Mukand Iron & Steel Works Limited to apply for its engineering programme","నాయక్ గుజరాతీ. ఇతను గుజరాత్లోని ఉపాధ్యాయుల కుటుంబంలో జన్మించాడు, గుజరాతీ భాషలో మాస్టర్ కుటుంబం అని కూడా పిలుస్తారు. ముంబైలోని ఒక ప్రభుత్వ పాఠశాలలో బోధించే అతని తండ్రి, భారతదేశంలోని గ్రామాలను పునరుజ్జీవింపజేయాలని మహాత్మా గాంధీ పిలుపునిచ్చాడు, అతని కుటుంబంతో సహా తన స్వగ్రామానికి తిరిగి రావాలని నిర్ణయించుకున్నాడు. యువ అనిల్, ప్రారంభ పాఠశాల విద్య ఎంధాల్, పొరుగు గ్రామమైన ఖరేల్లో ఉంది. జూన్ 1958లో, నాయక్ V వద్ద నమోదు చేసుకున్నాడు. పి. వల్లభ విద్యానగర్లోని సైన్స్ కాలేజీ, అక్కడ ఇంజనీరింగ్ కాలేజీలో అడ్మిషన్ కోసం ఒక సంవత్సరం పాటు ప్రిపేర్ అయ్యేవాడు. గుజరాత్లోని వల్లభ్ విద్యానగర్లోని బిర్లా విశ్వకర్మ మహావిద్యాలయ ఇంజినీరింగ్ కళాశాల నుండి మెకానికల్ ఇంజనీరింగ్లో బ్యాచిలర్ డిగ్రీని పొందారు. గ్రాడ్యుయేషన్ తర్వాత, ఇతను తన తండ్రి విరెన్ జెకి పరిచయం చేస్తూ రాసిన నోట్తో ముంబైకి వెళ్లాడు. షా ముకాంద్ ఐరన్ & స్టీల్ వర్క్స్ లిమిటెడ్లో పని చేస్తున్నాడు, దాని ఇంజనీరింగ్ ప్రోగ్రామ్ కోసం దరఖాస్తు చేసుకున్నాడు. "
9,A. Marthanda Pillai,,
