,Recipients,work,work Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,,
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,,
13,A. Ramachandran,"Initially, Ramachandran painted in an expressionist style which poignantly reflected the angst of urban life. The paintings were large, akin to murals, and comprised powerful figuration. By the 1980s however, Ramachandran's work underwent a sea-change. Urban reality was no longer a preoccupation. A tribal community in Rajasthan with its vibrant ethos gripped his imagination. Simultaneously, the colours and forms of the murals in the Kerala temples began to influence his mode of expression. Myths became a great resource for him. The first in this new style was ‘Yayati’, a retelling of this story from the Indian epic Mahabharata. It was conceived as the inner shrine of a Kerala temple, with thirteen bronze sculptures surrounded on three sides by painted murals, 60 by 8 feet in total size.
As a painter, his strong command over lines, colours and forms create an exciting visual drama","ప్రారంభంలో, రామచంద్రన్ పట్టణ జీవితంలోని వేదనను ఘాటుగా ప్రతిబింబించే భావవ్యక్తీకరణ శైలిలో చిత్రించాడు. పెయింటింగ్లు పెద్దవి, కుడ్యచిత్రాలను పోలి ఉంటాయి, శక్తివంతమైన బొమ్మలను కలిగి ఉన్నాయి. అయితే 1980ల నాటికి, రామచంద్రన్, పని ఒక సముద్ర మార్పుకు గురైంది. అర్బన్ రియాలిటీ ఇకపై ఆసక్తిని కలిగి ఉండదు. రాజస్థాన్లోని ఒక గిరిజన సంఘం దాని శక్తివంతమైన నైతికతతో అతని ఊహలను పట్టుకుంది. అదే సమయంలో, కేరళ దేవాలయాలలోని కుడ్యచిత్రాల రంగులు, రూపాలు అతని వ్యక్తీకరణ విధానాన్ని ప్రభావితం చేయడం ప్రారంభించాయి. పురాణాలు అతనికి గొప్ప వనరుగా మారాయి. ఈ కొత్త శైలిలో మొదటిది 'యయాతి', ఇది భారతీయ ఇతిహాసం మహాభారతం నుండి ఈ కథను తిరిగి చెప్పడం. ఇది కేరళ దేవాలయం, అంతర్గత మందిరంగా భావించబడింది, మూడు వైపులా చిత్రించిన కుడ్యచిత్రాలతో చుట్టుముట్టబడిన పదమూడు కాంస్య శిల్పాలు, మొత్తం పరిమాణంలో 60 నుండి 8 అడుగులు. చిత్రకారుడిగా, పంక్తులు, రంగులు, రూపాలపై అతని బలమైన ఆదేశం అద్భుతమైన దృశ్య నాటకాన్ని సృష్టిస్తుంది. "
14,A. Ramasamy Mudaliar,,
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
