,Recipients,recognition,recognition Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,,
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,,
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,,
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,"Kalelkar received a Sahitya Akademi Award in 1965 for his Jeevan-Vyavastha, a collection of essays in Gujarati. He was honored with Sahitya Akademi Fellowship in 1971 for his literary achievements.
The Government of India conferred on him Padma Vibhushan (India's second-highest civilian award after the Bharat Ratna) in 1964. It also issued a commemorative stamp in his honor in 1985.","కలేల్కర్ తన జీవన్-వ్యవస్త అనే గుజరాతీలో వ్యాసాల సంకలనానికి 1965లో సాహిత్య అకాడమీ అవార్డును అందుకున్నారు. 1971లో ఆయన సాహిత్య విజయాలకు గాను సాహిత్య అకాడమీ ఫెలోషిప్తో సత్కరించారు. భారత ప్రభుత్వం 1964లో పద్మవిభూషణ్ (భారతరత్న తర్వాత భారతదేశం, రెండవ అత్యున్నత పౌర పురస్కారం)ని ప్రదానం చేసింది. ఇది 1985లో అతని గౌరవార్థం స్మారక స్టాంపును కూడా విడుదల చేసింది. "
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,The Government of India awarded him the fourth highest civilian honour of Padma Shri in 1964 and he received the Sangeet Natak Akademi award in 1970.,"భారత ప్రభుత్వం 1964లో నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని ప్రదానం చేసింది, 1970లో సంగీత నాటక అకాడమీ అవార్డును అందుకుంది. "
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
