,Recipients,education and career,education and career Telugu
0,A Zakia,,
1,A. G. K. Gokhale,,
2,A. Jayanta Kumar Singh,,
3,A. K. Gupta,,
4,A. K. Hangal,,
5,A. K. Ramanujan,,
6,A. Kanyakumari,,
7,A. Lakshmanaswami Mudaliar,,
8,A. M. Naik,,
9,A. Marthanda Pillai,,
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,,
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,,
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
