,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
0,Asha Devi Aryanayakam,https://en.wikipedia.org/wiki/Asha_Devi_Aryanayakam,1954.0,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,,,"1901
Lahore, British India",1901.0,"Lahore, British India",1972.0,1972.0,nan,,E. R. W. Aranyakam,,,Padma Shri,,No,No
1,Bir Bhan Bhatia,https://en.wikipedia.org/wiki/Bir_Bhan_Bhatia,1954.0,Delhi/India,Medicine,Rajendra Prasad,,,,,,,,,"30 August 1900
Abottabad,British India",2000-08-30 00:00:00,"Abottabad,British India","13 May 1962
Lucknow,Uttar Pradesh, India",1962-05-13 00:00:00,"Lucknow,Uttar Pradesh, India",,"Shanti Devi
Norah",,,Padma Shri,Physician,No,No
2,Perin Captain,https://en.wikipedia.org/wiki/Perin_Captain,1954.0,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,,,"12 October 1888
Mandvi,Kutch District,Gujarat, India",12 October 1888,"Mandvi,Kutch District,Gujarat, India",1958.0,1958.0,nan,,Dhunjisha S. Captain,,,Padma Shri,,No,No
3,K. R. Chakravorty,https://en.wikipedia.org/wiki/Kshitish_Ranjan_Chakravorty,1954.0,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,,,,,,,"(1916-02-01)February 1, 1916
West Bengal, India","(1916-02-01)February 1, 1916","West Bengal, India",nan,nan,nan,,,,Fertilizer Corporation of India,1954Padma Shri1968Shanti Swarup Bhatnagar Prize,,No,No
4,Amalprava Das,https://en.wikipedia.org/wiki/Amalprava_Das,1954.0,"Assam, India",Public Affairs,Rajendra Prasad,,,,,,,,,"12 November 1911
Dibrugarh,Assam, India",2011-11-12 00:00:00,"Dibrugarh,Assam, India",nan,nan,nan,,,,,"Padma Shri
Jamnalal Bajaj Award",Social worker,No,No
5,Mathura Das,,1954.0,"Assam, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
6,Surinder Kumar Dey,https://en.wikipedia.org/wiki/S._K._Dey,1954.0,"West Bengal, India",Civil Service,Rajendra Prasad,,,,,,,,,"Surinder Kumar Dey
(1906-09-13)13 September 1906
Laxmibassa village,Bangladesh",(1906-09-13)13 September 1906,nan,1989 (aged 82–83),1989 (aged 82–83),nan,,,,,,,No,No
7,Ramji Vasant Khanolkar,https://en.wikipedia.org/wiki/V._R._Khanolkar,1954.0,"Maharashtra, India",Medicine,Rajendra Prasad,,,,,,,,,(1895-04-13)13 April 1895,(1895-04-13)13 April 1895,nan,29 October 1978(1978-10-29)(aged 83),29 October 1978(1978-10-29)(aged 83),nan,Indian,,,,Padma Bhushan(1954),,No,No
8,Achamma Mathai,https://en.wikipedia.org/wiki/Achamma_Mathai,1954.0,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,,,"Kerala, India",nan,nan,nan,nan,nan,,John Mathai,,,Padma Shri,Social worker,No,No
9,Bhag Mehta,,1954.0,"Gujarat, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
